Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Verizon Communications Inc,VZ.N,VZ,2136.0,VERIZON COMMUNICATIONS INC
Morefield Group NV,MORE.AS,,,
FRP Holdings Inc,FRPH.OQ,FRPH,12926.0,FRP HOLDINGS INC
FTI Foodtech International Inc,FTI.V,,,
Oppenheimer Holdings Inc,OPY.N,OPY,13453.0,OPPENHEIMER HOLDINGS INC
Exponent Inc,EXPO.OQ,EXPO,23027.0,EXPONENT INC
Fair Isaac Corp,FICO.N,FICOX,13824.0,FAIR ISAAC CORP
Fairfax Financial Holdings Ltd,FFH.TO,FFH,16428.0,FAIRFAX FINANCIAL HOLDINGS
Almaden Minerals Ltd,AMM.V,AMM,22570.0,ALMADEN MINERALS LTD
Hello Pal International Inc,HP.CD,,,
Fancamp Exploration Ltd,FNC.V,,130402.0,SLAM EXPLORATION LTD
Family Dollar Stores LLC,FDO.N^G15,DLTRFY,4560.0,FAMILY DOLLAR STORES
EACO Corp,EACO.PK,EACO,184580.0,EACO CORP
Farmer Bros Co,FARM.OQ,FARMX,4579.0,FARMER BROS CO
Farmers Capital Bank Corp,FFKT.OQ^H18,WSBFR,18110.0,FARMERS CAPITAL BANK CORP
Fastenal Co,FAST.OQ,FAST,14225.0,FASTENAL CO
FedEx Corp,FDX.N,FDX,4598.0,FEDEX CORP
Federal Home Loan Mortgage Corp,FMCC.PK,FMCC,15208.0,FEDERAL HOME LOAN MORTG CORP
Russel Metals Inc,RUS.TO,RUS,4599.0,RUSSEL METALS INC
Federal National Mortgage Association,FNMA.PK,FNMA,4601.0,FEDERAL NATIONAL MORTGA ASSN
Federal Realty Investment Trust,FRT.N,FRT,4605.0,FEDERAL REALTY INVESTMENT TR
Federal Signal Corp,FSS.N,FSS,4608.0,FEDERAL SIGNAL CORP
Vibrantz Corp,FOE.N^D22,VIBZNV,,
Norte Grande SA,NORTEGRAN.SN,NORTE,,
Fifth Third Bancorp,FITB.OQ,FITB,4640.0,FIFTH THIRD BANCORP
Finning International Inc,FTT.TO,FTT,4669.0,FINNING INTERNATIONAL INC
Regions Financial Corp,RF.N,RF,4674.0,REGIONS FINANCIAL CORP
CoreLogic Inc,CLGX.N^F21,CESTNR,12796.0,CORELOGIC INC
abrdn Asia-Pacific Income Fund Inc,FAX.A,FAX,14667.0,ABRDN ASIA PACIFIC INCOME FD
FirstMerit Corp,FMER.O^H16,HBAFN,4678.0,FIRSTMERIT CORP
First Bancorp (North Carolina),FBNC.OQ,FBNC,62365.0,FIRST NORTHN CMNTY BANCORP
Credit Suisse Asset Management Income Fund Inc,CIK.A,CIK,14703.0,CREDIT SUISSE ASST INCOME FD
First Calgary Petroleums Ltd,FCP.TO^K08,ENIFI,,
Firstcash Holdings Inc,FCFS.OQ,FCFS,24157.0,FIRSTCASH HOLDINGS INC
First Citizens BancShares Inc (Delaware),FCNCA.OQ,FCNCA,110359.0,FIRST CITIZENS BANCSHRS INC
